name,official,hash,url,sourceurlhash
Explorer's Guide to Wildemount,1,0x68f9650a722f304bcac957197afe4e891f0a8044,,0x68f9650a722f304bcac957197afe4e891f0a8044
Eberron: Rising from the Last War,1,0x2dc5c6ec0c9b2a33d5ec33622290458016eb72e8,,0x2dc5c6ec0c9b2a33d5ec33622290458016eb72e8
Guildmasters' Guide to Ravnica,1,0xa6623be792305e60617c4c7c7a54289dc6831c69,,0xa6623be792305e60617c4c7c7a54289dc6831c69
Lost Mines of Phandelver,0,0x67762f20290c3421b0653db343399d65f76afe2b,,0x67762f20290c3421b0653db343399d65f76afe2b
Out of the Abyss,1,0x485e8f896c9548f64f22e4726654d5964c8dc0c3,,0x485e8f896c9548f64f22e4726654d5964c8dc0c3
Princes of the Apocalypse,1,0x7aa18b2366769a48cd86a8fbdf95c9ff179abc8f,,0x7aa18b2366769a48cd86a8fbdf95c9ff179abc8f
Princes of the Apocalypse Online Supplement v1.0,0,0x411a74b133ab1cef4d0a91c2dfc9a35a54620665,,0x411a74b133ab1cef4d0a91c2dfc9a35a54620665
HotDQ supplement,0,0xb5dc5ff1031a3e51dd8cf2aec77befae828d7db6,,0xb5dc5ff1031a3e51dd8cf2aec77befae828d7db6
Basic Rules v1,1,0xec15b5536d8c40bd5690e889dec65665ae7479a6,,0xec15b5536d8c40bd5690e889dec65665ae7479a6
Monster Manual,1,0x6d66d05d92d4171b56ef2b67da0c5d1017e92c81,,0x6d66d05d92d4171b56ef2b67da0c5d1017e92c81
Player's Handbook,1,0x09a74a7ca02dbaddf1a9b60f956e88e6c76fa097,,0x09a74a7ca02dbaddf1a9b60f956e88e6c76fa097
Curse of Strahd,1,0xad800e65030012bc1b044dc2bcaf66e0965cfdbc,,0xad800e65030012bc1b044dc2bcaf66e0965cfdbc
Primeval Thule Gamemaster's Companion,0,0x5aac9c4e1a5825bbae945d8bd9053267d51082d4,,0x5aac9c4e1a5825bbae945d8bd9053267d51082d4
Mythic Odysseys of Theros,1,0xc3b42c23d34ff38a40e149e916f6bd686ac9bbc0,,0xc3b42c23d34ff38a40e149e916f6bd686ac9bbc0
Primeval Thule Campaign Setting,0,0x1aa85eae535c421dfcf68e95da810f30b448cd92,,0x1aa85eae535c421dfcf68e95da810f30b448cd92
Monster Module,0,0xaddc0284b0d832ad80ee5fa3e5865398a2691295,,0xaddc0284b0d832ad80ee5fa3e5865398a2691295
Hoard of the Dragon Queen,1,0x5bccc149c7076581b4ca1782a2f32436a97447d1,,0x5bccc149c7076581b4ca1782a2f32436a97447d1
Rise of Tiamat,1,0x4b71c3cbc63c5cea109b469ce9211e66ad8db18a,,0x4b71c3cbc63c5cea109b469ce9211e66ad8db18a
Nerzugal's Extended Bestiary,0,0x202c03c82b662a68932376964a7ad42da8ad8cc4,,0x202c03c82b662a68932376964a7ad42da8ad8cc4
Tome of Beasts,0,0x345f17ef407e6ffd54ab705d41fb71289d2919be,,0x345f17ef407e6ffd54ab705d41fb71289d2919be
Baldur's Gate: Descent into Avernus,1,0xf6b8c5e23b43a5d023ed859e02b7bd9231740929,,0xf6b8c5e23b43a5d023ed859e02b7bd9231740929
D&D Beyond,0,0xccb2fb6ebbfcde3c40f4662b20c7a7a57aefd58c,,0xccb2fb6ebbfcde3c40f4662b20c7a7a57aefd58c
Ghosts of Saltmarsh,1,0x31ffeccee36760f991cc2a9fb1ef576cc712473a,,0x31ffeccee36760f991cc2a9fb1ef576cc712473a
Waterdeep: Dragon Heist,1,0x12b5758509a59c2e61b975f95eb587e552b5e568,,0x12b5758509a59c2e61b975f95eb587e552b5e568
Into The Borderlands,1,0xd2a82954c745f02dbc89e94d17a80394e4941990,,0xd2a82954c745f02dbc89e94d17a80394e4941990
Monster-A-Day,0,0x0128d193a50eeecf382c4c4238491994a41be052,,0x0128d193a50eeecf382c4c4238491994a41be052
Tome of Beasts II,0,0x4e2ceedfc1aa6f16129e85c0323eb2a091e7c7df,,0x4e2ceedfc1aa6f16129e85c0323eb2a091e7c7df
Tales from the Yawning Portal,1,0xf3181b346c22faf7c204ef011a25a05ca6efc2c3,,0xf3181b346c22faf7c204ef011a25a05ca6efc2c3
Mordenkainen's Tome of Foes,1,0xe9d292fb9baa2a8bedbf86a314de730aacbdd56a,,0xe9d292fb9baa2a8bedbf86a314de730aacbdd56a
Fifth Edition Foes,0,0xa6118b927a4228a20a43de0fc03f4c88f2a34c3a,,0xa6118b927a4228a20a43de0fc03f4c88f2a34c3a
Volo's Guide to Monsters,1,0x33c52a11717fada4bccaff00aea418d324503e1d,,0x33c52a11717fada4bccaff00aea418d324503e1d
Waterdeep: Dungeon of the Mad Mage,1,0x35c91eb40a279af7ac1f387910f180d27aa206dd,,0x35c91eb40a279af7ac1f387910f180d27aa206dd
Storm King's Thunder,1,0x54b0fa59593b1e056899d011b36c12b0012e85ae,,0x54b0fa59593b1e056899d011b36c12b0012e85ae
Icewind Dale: Rime of the Frost Maiden,1,0x990426bd078678bd157b9d1d4cda649c3f2bc47f,,0x990426bd078678bd157b9d1d4cda649c3f2bc47f
,0,0xda39a3ee5e6b4b0d3255bfef95601890afd80709,,0xda39a3ee5e6b4b0d3255bfef95601890afd80709
